Id-Player,Goals,Minutes,Altersklasse,Liga,Position,Vereinsname,Sex
772005,13,433,50+,Senioren 50+/7,"Mittelfeld links, Mittelfeld linksinnen, Mittelfeld rechtsinnen, Mittelsturm",FC Kloten (11028),M
812189,13,1164,Jun.C,"Junioren A Promotion, Junioren B 1. Stärkeklasse, Junioren C 1. Stärkeklasse, Junioren C 2. Stärkeklasse","Flügel rechts, Innenverteidigung rechts, Mittelfeld, Mittelfeld rechtsinnen, Verteidigung vorne, hängende Spitze",FC Mönchaltorf (11035),M
1258324,13,599,Jun.B,Junioren B 2. Stärkeklasse,"Flügel links, Mittelfeld linksinnen, Sturmspitze",FC Republika Srpska (11539),M
1217107,13,402,40+,Senioren 40+ (7/7),"Mittelfeld linksaussen, Mittelfeld rechtsaussen, Sturmspitze",FC Oetwil-Geroldswil (11079),M
1127531,13,707,Jun.C,"Junioren C 1. Stärkeklasse, Junioren C 2. Stärkeklasse","Ersatz (S), Innenverteidigung rechts, Mittelsturm, Sturmspitze, Sturmspitze rechts",FC Schwerzenbach (11077),M
1001110,13,669,Jun.B,"3. Liga, Junioren A","Flügel rechts, Mittelfeld rechtsaussen",NK Dinamo Schaffhausen (11116),M
53542,13,741,Jun.C,"Junioren B 2. Stärkeklasse, Junioren C 1. Stärkeklasse","Flügel links, Flügel rechts, Mittelfeld linksaussen, Sturmspitze rechts, Verteidigung links",FC Wetzikon (11055),M
1095184,13,714,Jun.C,"Junioren B 1. Stärkeklasse, Junioren C 1. Stärkeklasse","Ersatz (S), Mittelsturm, Sturmspitze, Sturmspitze links",FC Brüttisellen-Dietlikon (11005),M
491323,13,275,50+,Senioren 50+/7,"Flügel links, Mittelfeld rechts, hängende Spitze",AC Palermo (11514),M
1303497,13,836,Jun.C,Youth League C,"Mittelfeld linksaussen, Sturmspitze, Sturmspitze links, Sturmspitze rechts",FC Urdorf (11069),M
632598,13,471,Jun.C,Junioren C 2. Stärkeklasse,"Mittelfeld rechtsaussen, Sturmspitze links",FC Oberrieden (11078),M
639164,13,965,Aktiv,2. Liga,"Flügel links, Mittelsturm",SC Veltheim (11262),M
287979,13,530,Jun.C,"Juniorinnen B, Juniorinnen C","Flügel links, Flügel rechts, Innenverteidigung rechts, Mittelfeld, Sturmspitze links",FC Witikon (11496),W
1125635,13,741,Jun.B,"3. Liga, Junioren A","Ersatz (S), Flügel links, Mittelfeld linksaussen",NK Dinamo Schaffhausen (11116),M
982042,13,720,Jun.D,Junioren C 2. Stärkeklasse,"Flügel links, Sturmspitze, Sturmspitze links, hängende Spitze, hängende Spitze links",FC Knonau-Mettmenstetten (11083),M
989128,13,697,Aktiv,5. Liga,"Mittelfeld rechtsinnen, Mittelsturm, Sturmspitze links, hängende Spitze links",FC Oetwil-Geroldswil (11079),M
1289922,13,714,Aktiv,Frauen 3. Liga,Sturmspitze,FC Thayngen (11108),W
783792,12,530,Jun.C,"Junioren C 1. Stärkeklasse, Junioren C 2. Stärkeklasse","Flügel links, Mittelfeld defensiv links, Mittelfeld defensiv rechts, Mittelfeld linksaussen, Sturmspitze, Sturmspitze links",FC Wollishofen (11497),M
287027,12,560,Jun.B,Junioren B 1. Stärkeklasse,"Mittelfeld rechtsaussen, Sturmspitze, Sturmspitze links, Sturmspitze rechts",FC Dielsdorf (11008),M
732928,12,890,Jun.C,U-16 (Frauen),"Flügel links, Flügel rechts, Sturmspitze",FC Oerlikon/Polizei ZH (11544),W
1233328,12,810,Jun.C,Junioren C 1. Stärkeklasse,"Mittelfeld linksinnen, Mittelfeld rechtsaussen",FC Glattfelden (11022),M
885134,12,640,30+,Senioren 30+ Meister,Sturmspitze links,SC Siebnen (11746),M
1156883,12,489,Jun.C,Junioren C 1. Stärkeklasse,"Flügel links, Flügel rechts, Mittelfeld linksaussen",FC Kempttal (11026),M
909268,12,624,Jun.C,"Frauen 4. Liga, Juniorinnen B","Ersatz (S), Sturmspitze rechts",FC Witikon (11496),W
