Id-Player,Liga,Vereinsname
1253534,Junioren B 2. Stärkeklasse,FC Feusisberg-Schindellegi (11749)
1253699,Junioren B 2. Stärkeklasse,FC Witikon (11496)
1254142,Junioren C 2. Stärkeklasse,FC Feusisberg-Schindellegi (11749)
1251647,Youth League A,FC Urdorf (11069)
1251959,Junioren B 1. Stärkeklasse,FC Kilchberg-Rüschlikon (11027)
1251962,Senioren 30+,FC Embrach (11266)
1252106,4. Liga,FC Embrach (11266)
1252137,"5. Liga, Senioren 30+",FC Diessenhofen (11809)
1252426,3. Liga,FC Mönchaltorf (11035)
1252581,Junioren A Promotion,FC Phönix Seen (11258)
1252716,Junioren B 1. Stärkeklasse,FC Egg (11012)
158809,2. Liga,FC Greifensee (11056)
66446,"Senioren 40+ Meister, Senioren 50+/7",FC Wald (11052)
66490,Junioren C Promotion,SC Zollikon (11066)
66741,2. Liga,FC Greifensee (11056)
66809,Junioren B 1. Stärkeklasse,FC Regensdorf (11040)
66815,"Junioren C 2. Stärkeklasse, Junioren C Promotion",FC Pfäffikon (11037)
1254489,Junioren C 2. Stärkeklasse,FC Herrliberg (11057)
1254635,Senioren 50+/11,Grasshopper Club Zürich (11476)
1254670,"Junioren B 1. Stärkeklasse, Junioren C 2. Stärkeklasse",FC Wollerau (11765)
1254753,Junioren C 2. Stärkeklasse,FC Wädenswil (11051)
1254838,Frauen 3. Liga,FC Wiedikon ZH (11494)
1254998,Senioren 40+,BC Albisrieden (11542)
1253096,Junioren C 2. Stärkeklasse,FC Hinwil (11023)
1253114,Senioren 30+ Promotion,FC Neftenbach (11062)
1253154,Senioren 40+ Promotion,FC Wädenswil (11051)
1253209,Senioren 40+,FC Regensdorf (11040)
159049,Junioren A Promotion,FC Phönix Seen (11258)
159063,Junioren C 1. Stärkeklasse,FC Blue Stars ZH (11472)
159132,Junioren B Promotion,FC Wald (11052)
1255317,Frauen 3. Liga,FC Wiedikon ZH (11494)
1255442,Frauen 3. Liga,FC Wiedikon ZH (11494)
1255569,Youth League C,FR Soccer (11071)
1255598,Senioren 30+,US Virtus Badolato (11559)
1255654,4. Liga,FC Egg (11012)
1255658,4. Liga,FC Embrach (11266)
1254232,Senioren 40+,FC Wiedikon ZH (11494)
159993,Junioren C 1. Stärkeklasse,FC Wollishofen (11497)
160109,Junioren B Promotion,Sporting Club Schaffhausen (11114)
160223,Senioren 40+ Promotion,FC Einsiedeln (11712)
158500,"Junioren B 1. Stärkeklasse, Junioren C 1. Stärkeklasse",Centro Lusitano Zurich (11523)
158677,Juniorinnen C,FC Phönix Seen (11258)
158773,Senioren 30+ Promotion,NK Croatia ZH (11524)
157858,Juniorinnen C,FC Adliswil (11001)
158183,4. Liga,FC Hinwil (11023)
158206,Junioren C 1. Stärkeklasse,FC Wetzikon (11055)
158491,"Juniorinnen B, Juniorinnen C",SC Wipkingen ZH (11495)
1255911,Junioren B Promotion,FC Oerlikon/Polizei ZH (11544)
1256262,"Junioren B 1. Stärkeklasse, Junioren C Promotion",FC Blue Stars ZH (11472)
1256633,3. Liga,FC Altstetten (11469)
1256714,Junioren C 2. Stärkeklasse,SC Hegi Winterthur (11267)
1255005,2. Liga,FC Wädenswil (11051)
1255126,"Junioren C 2. Stärkeklasse, Junioren C Promotion",SC Zollikon (11066)
66899,Junioren B 1. Stärkeklasse,FC Volketswil (11075)
66920,Junioren C Promotion,FC Oetwil-Geroldswil (11079)
64689,Junioren A,NK Dinamo Schaffhausen (11116)
64791,Frauen 3. Liga,FC Embrach (11266)
64846,Senioren 30+,FC Wiesendangen (11265)
158961,Junioren C 2. Stärkeklasse,FC Schwerzenbach (11077)
1256758,Junioren C 2. Stärkeklasse,FC Oberrieden (11078)
1257132,Junioren C 1. Stärkeklasse,FC Hinwil (11023)
1257159,Junioren C 1. Stärkeklasse,FC Kilchberg-Rüschlikon (11027)
1257563,Senioren 50+/11,FC Industrie Turicum (11552)
1257778,Junioren C 1. Stärkeklasse,FC Mönchaltorf (11035)
1257887,Senioren 40+ Promotion,FC Kloten (11028)
1258022,Junioren C 2. Stärkeklasse,FC Lionem ZH (11551)
1258342,Juniorinnen C,FC Stäfa 1895 (11047)
1258396,Junioren C 2. Stärkeklasse,FC Oberrieden (11078)
159160,4. Liga,FC Kilchberg-Rüschlikon (11027)
159171,Senioren 30+,FC Horgen (11024)
157384,Junioren A Promotion,FC Männedorf (11033)
157399,4. Liga,FC Oetwil-Geroldswil (11079)
157407,Senioren 40+ Promotion,FC Kloten (11028)
157424,Junioren C 1. Stärkeklasse,FC Schwamendingen (11487)
157728,4. Liga,FC Mezopotamya (11546)
1258741,4. Liga,FC Uitikon (11059)
1259100,Senioren 40+ (7/7),FC Horgen (11024)
1259210,"4. Liga, Junioren B 1. Stärkeklasse",FC Oberwinterthur (11257)
1259259,Junioren B 2. Stärkeklasse,SC Wipkingen ZH (11495)
1259288,Senioren 30+,NK Dinamo Schaffhausen (11116)
1259326,3. Liga,FC Srbija ZH (11516)
1259346,Juniorinnen C,FC Kloten (11028)
1259495,Senioren 30+,FC Dielsdorf (11008)
155742,4. Liga,FC Galatasaray (11518)
156014,3. Liga,FC Maur (11065)
156368,Junioren B 1. Stärkeklasse,FC Egg (11012)
156425,5. Liga,FC Russikon (11074)
156542,5. Liga,FC Rüti (11044)
156735,Juniorinnen C,FC Glattal Dübendorf (11086)
156750,Junioren C 2. Stärkeklasse,FC Bauma (11003)
1259573,Junioren C 1. Stärkeklasse,FC Fehraltorf (11018)
1260214,Junioren C 2. Stärkeklasse,FC Embrach (11266)
1260335,Juniorinnen B,FC Stäfa 1895 (11047)
1260362,Junioren B 1. Stärkeklasse,FC Adliswil (11001)
155006,4. Liga,FC Schleitheim (11111)
155024,Juniorinnen C,FC Glattal Dübendorf (11086)
155274,Senioren 30+,FC Newborn (11117)
155306,3. Liga,FC Maur (11065)
155308,"Frauen 3. Liga, Frauen 4. Liga",FC Regensdorf (11040)
155315,Juniorinnen B,FC Kloten (11028)
155605,Youth League B,FC Phönix Seen (11258)
155609,5. Liga,FC Wollerau (11765)
153390,Junioren C 2. Stärkeklasse,FC Bosna Zürich (11541)
153402,Senioren 30+ Promotion,SC Veltheim (11262)
1260635,5. Liga,FC Zürich-Affoltern (11467)
1260668,Senioren 40+,FC Gossau (11076)
1258486,Juniorinnen B,FC Ellikon Marthalen (11014)
