Vereinsname,Cant_Player,Cant_Goal,Altersklasse
Grasshopper Club Zürich (11476),101,90,"30+, 40+, 50+, Aktiv, Jun.A"
FC Uitikon (11059),68,89,"30+, 50+, Aktiv, Jun.A, Jun.B, Jun.C, Jun.D"
FC Blue Stars ZH Frauen 1968 (11562),130,87,"30+, Aktiv, Jun.A, Jun.B, Jun.C, Jun.D"
FC Buttikon (11707),127,86,"30+, 40+, 50+, Aktiv, Jun.A, Jun.B, Jun.C, Jun.D"
Centro Lusitano Zurich (11523),100,85,"30+, 40+, 50+, Aktiv, Jun.A, Jun.B, Jun.C, Jun.D"
FC Oetwil am See (11072),87,84,"30+, Aktiv, Jun.A, Jun.B, Jun.C"
FR Black (11538),46,84,"Jun.C, Jun.D"
FC Weisslingen (11054),88,83,"30+, 40+, Aktiv, Jun.A, Jun.B, Jun.C, Jun.D"
FC Bosna Zürich (11541),81,81,"30+, 40+, 50+, Aktiv, Jun.A, Jun.B, Jun.C, Jun.D"
FC Bäretswil (11067),69,79,"30+, 40+, 50+, Aktiv, Jun.A, Jun.B, Jun.C, Jun.D"
FC Brasil Suisse (11537),72,78,"30+, 40+, 50+, Aktiv"
NK Dinamo Schaffhausen (11116),70,78,"30+, 40+, 50+, Aktiv, Jun.A, Jun.B"
US Avellino Zurigo (11522),79,77,"30+, 40+, Aktiv, Jun.A, Jun.B, Jun.C, Jun.D"
GC Frauenfussball (11705),71,76,"30+, Aktiv, Jun.A, Jun.B, Jun.C"
FC United Zürich (11517),71,75,"30+, 40+, Aktiv, Jun.A, Jun.B, Jun.C, Jun.D"
SC Hegi Winterthur (11267),66,73,"40+, 50+, Aktiv, Jun.A, Jun.B, Jun.C, Jun.D"
FC Thayngen (11108),104,69,"30+, 40+, 50+, Aktiv, Jun.A, Jun.B, Jun.C"
Racing Club ZH (11485),82,67,"30+, 40+, 50+, Aktiv"
SC Winterthur United (11256),73,66,"30+, 40+, Aktiv, Jun.A, Jun.B"
